Park Name,Type of Unit,State,Reg,Alpha,Unit
Great Smoky Mountains,National Park,"TN,NC",SER,GRSM,1
Grand Teton,National Park,WY,IMR,GRTE,1
Guilford Courthouse,National Military Park,NC,SER,GUCO,1
Gulf Islands,National Seashore,"FL,MS",SER,GUIS,1
Guadalupe Mountains,National Park,TX,IMR,GUMO,1
George Washington Carver,National Monument,MO,MWR,GWCA,1
George Washington,Memorial Parkway,DC,NCR,GWMP,1
Harpers Ferry,National Historical Park,WV,NCR,HAFE,1
Hagerman Fossil Beds,National Monument,ID,PWR,HAFO,1
Hamilton Grange,National Memorial,NY,NER,HAGR,1
Haleakala,National Park,HI,PWR,HALE,1
Hampton,National Historic Site,MD,NER,HAMP,1
Harriet Tubman Underground Railroad,National Monument,MDL,NCR,HATU,1
Hawaii Volcanoes,National Park,HI,PWR,HAVO,1
Herbert Hoover,National Historic Site,IA,MWR,HEHO,1
Horseshoe Bend,National Military Park,AL,SER,HOBE,1
Hopewell Culture,National Historical Park,OH,MWR,HOCU,1
Home Of Franklin D Roosevelt,National Historic Site,NY,NER,HOFR,1
Hopewell Furnace,National Historic Site,PA,NER,HOFU,1
Homestead,National Monument of America,NE,MWR,HOME,1
Honouliuli National Monument,Honouliuli National Monument,HI,PW,HONO,
Hot Springs,National Park,AR,MWR,HOSP,1
Hovenweep,National Monument,UT,IMR,HOVE,1
Harry S Truman,National Historic Site,MO,MWR,HSTR,1
Hubbell Trading Post,National Historic Site,AZ,IMR,HUTR,1
Ice Age National Scenic Trail,Ice Age National Scenic Trail,WI,MW,IATR,
Independence,National Historical Park,PA,NER,INDE,1
Indiana Dunes,National Lakeshore,IN,MWR,INDU,1
Isle Royale,National Park,MI,MWR,ISRO,1
James A Garfield,National Historic Site,OH,MWR,JAGA,1
New Orleans Jazz,National Historical Park,LA,SER,JAZZ,1
Jewel Cave,National Monument,SD,MWR,JECA,1
Jefferson,National Expansion Memorial,MO,MWR,JEFF,1
Thomas Jefferson Memorial,Thomas Jefferson Memorial,DC,NC,JEFM,
Jean Lafitte,National Historical Park and Preserve,LA,SER,JELA,1
Jimmy Carter,National Historic Site,GA,SER,JICA,1
John Day Fossil Beds,National Monument,OR,PWR,JODA,1
John D Rockefeller Jr,Memorial Parkway,WY,IMR,JODR,1
John F Kennedy,National Historic Site,MA,NER,JOFI,1
Johnstown Flood,National Memorial,PA,NER,JOFL,1
John Muir,National Historic Site,CA,PWR,JOMU,1
Joshua Tree,National Park,CA,PWR,JOTR,1
Kaloko-Honokohau,National Historical Park,HI,PWR,KAHO,1
Kalaupapa,National Historical Park,HI,PWR,KALA,1
Katmai,National Park & Preserve,AK,AKR,KATM,2
Katahdin Woods And Waters National Monument,Katahdin Woods And Waters National Monument,ME,NE,KAWW,
Kenai Fjords,National Park,AK,AKR,KEFJ,1
Kennesaw Mountain,National Battlefield Park,GA,SER,KEMO,1
Keweenaw,National Historical Park,MI,MWR,KEWE,1
Kings Canyon National Park,Kings Canyon National Park,CA,PW,KICA,
Kings Mountain,National Military Park,SC,SER,KIMO,1
Klondike Gold Rush,National Historical Park,AK,AKR,KLGO,1
Knife River Indian Villages,National Historic Site,ND,MWR,KNRI,1
Kobuk Valley,National Park,AK,AKR,KOVA,1
Korean War Veterans,Memorial,DC,NCR,KOWA,1
Lava Beds,National Monument,CA,PWR,LABE,1
Lake Chelan,National Recreation Area,WA,PWR,LACH,1
Lake Clark,National Park & Preserve,AK,AKR,LACL,2
Lake Mead National Recreation Area,Lake Mead National Recreation Area,NV,PW,LAKE,
Lake Mead,National Recreation Area,"AZ,NV",PWR,LAME,1
Lake Meredith,National Recreation Area,TX,IMR,LAMR,1
Lake Roosevelt,National Recreation Area,WA,PWR,LARO,1
Lassen Volcanic,National Park,CA,PWR,LAVO,1
Lewis and Clark National Historic Trail,Lewis and Clark National Historic Trail,NE,MW,LECL,
Lewis and Clark,National Historical Park,OR,PWR,LEWI,1
Little Bighorn Battlefield,National Monument,MT,IMR,LIBI,1
Lincoln Boyhood,National Memorial,IN,MWR,LIBO,1
Lincoln Home,National Historic Site,IL,MWR,LIHO,1
Lincoln,Memorial,DC,NCR,LINC,1
Little River Canyon,National Preserve,AL,SER,LIRI,1
Lower Delaware,National Scenic River,"PA, NJ",,LODE,
Longfellow,National Historic Site,MA,NER,LONG,1
Lower Saint Croix National Scenic Riverway,Lower Saint Croix National Scenic Riverway,WI,MW,LOSA,
Lowell,National Historical Park,MA,NER,LOWE,1
Lyndon Baines Johnson Memorial Grove on the Potomac,National Memorial,VA,NCR,LYBA,1
Lyndon B Johnson,National Historical Park,TX,IMR,LYJO,1
Mary McLeod Bethune Council House National Historic Site,Mary McLeod Bethune Council House National Historic Site,DC,NC,MABE,
Marsh - Billings - Rockefeller,National Historical Park,VT,NER,MABI,1
Mammoth Cave,National Park,KY,SER,MACA,1
National Mall,National Mall,DC,NC,MALL,
Martin Luther King Jr,National Historic Site,GA,SER,MALU,1
Mary McLeod Bethune Council House,National Historic Site,DC,NCR,MAMC,1
Manassas,National Battlefield Park,VA,NCR,MANA,1
Manzanar,National Historic Site,CA,PWR,MANZ,1
Manhattan Project National Historical Park,Manhattan Project National Historical Park,NM,IM,MAPR,
Martin Van Buren,National Historic Site,NY,NER,MAVA,1
Maggie L Walker,National Historic Site,VA,NER,MAWA,1
Mesa Verde,National Park,CO,IMR,MEVE,1
Minidoka,National Historic Site,ID,PWR,MIIN,1
Minute Man,National Historical Park,MA,NER,MIMA,1
Minuteman Missile,National Historic Site,SD,MWR,MIMI,1
Mississippi,National River & Recreation Area,MN,MWR,MISS,1
"Martin Luther King, Jr.",Memorial,DC,NCR,MLKM,1
Missouri,National Recreational River,SD,MWR,MNRR,1
Montezuma Castle,National Monument,AZ,IMR,MOCA,1
Moores Creek,National Battlefield,NC,SER,MOCR,1
Mojave,National Preserve,CA,PWR,MOJA,1
Monocacy,National Battlefield,MD,NCR,MONO,1
Mount Rainier,National Park,WA,PWR,MORA,1
Morristown,National Historical Park,NJ,NER,MORR,1
Mount Rushmore,National Memorial,SD,MWR,MORU,1
Muir Woods,National Monument,CA,PWR,MUWO,1
Natural Bridges,National Monument,UT,IMR,NABR,1
National Capital Parks,National Capital Parks,DC,NC,NACA,
National Mall & Memorial Parks,,DC,NCR,NACC,1
National Mall,,DC,NCR,NAMA,1
Natchez,National Historical Park,MS,SER,NATC,1
