,park,congest,peak season,capacity,busy season,high demand,limited availability,traffic,total,FinalCluster,Label
132,FOMR,0,0,0,0,0,0,5,5,,
133,FONE,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
134,FOPO,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
135,FOPU,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
136,FORA,0,0,0,0,0,0,1,1,8.0,Rural High Visitation
137,FOSC,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
138,FOSM,0,0,0,0,0,0,18,18,3.0,Low Visitation Sites
139,FOST,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
140,FOSU,0,0,1,0,0,0,0,1,1.0,Transit Parks
141,FOTH,0,0,0,0,0,0,2,2,2.0,Urban Sites
142,FOUN,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
143,FOUS,0,0,0,0,0,0,7,7,7.0,Rural Low Visitation
144,FOVA,0,0,6,0,0,0,20,26,5.0,Urban High Visitation
145,FOWA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
146,FRDE,0,0,0,0,0,0,0,0,2.0,Urban Sites
147,FRDO,0,0,2,1,0,0,0,3,2.0,Urban Sites
148,FRHI,0,0,0,0,0,0,2,2,6.0,High Seasonal Variation
149,FRLA,0,0,0,0,0,0,0,0,2.0,Urban Sites
150,FRSP,0,2,0,0,0,0,83,85,5.0,Urban High Visitation
151,FRST,0,0,0,0,0,0,0,0,,
152,GAAR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
153,GARI,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
154,GATE,0,0,0,0,0,0,2,2,5.0,Urban High Visitation
155,GEGR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
156,GERO,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
157,GETT,0,0,0,0,0,0,10,10,5.0,Urban High Visitation
158,GEWA,0,0,0,0,0,0,24,24,7.0,Rural Low Visitation
159,GICL,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
160,GLAC,29,11,11,0,0,0,33,84,1.0,Transit Parks
161,GLBA,0,0,0,0,0,0,4,4,1.0,Transit Parks
162,GLCA,2,0,7,0,0,0,9,18,1.0,Transit Parks
163,GOGA,0,0,1,0,0,0,2,3,1.0,Transit Parks
164,GOIS,0,0,0,0,0,0,0,0,1.0,Transit Parks
165,GOSP,0,0,2,0,0,0,0,2,7.0,Rural Low Visitation
166,GRBA,2,5,2,1,0,0,3,13,8.0,Rural High Visitation
167,GRCA,5,2,22,48,4,1,135,217,1.0,Transit Parks
168,GREE,0,0,0,0,0,0,15,15,4.0,Urban Low Visitation
169,GREG,0,0,0,0,0,0,0,0,,
170,GRKO,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
171,GRPO,0,0,0,0,0,0,3,3,6.0,High Seasonal Variation
172,GRSA,0,0,4,1,0,0,17,22,6.0,High Seasonal Variation
173,GRSM,7,2,12,0,0,0,114,135,8.0,Rural High Visitation
174,GRTE,6,9,5,0,1,0,18,39,8.0,Rural High Visitation
175,GUCO,0,0,0,0,0,0,3,3,5.0,Urban High Visitation
176,GUIS,0,0,1,0,0,0,45,46,1.0,Transit Parks
177,GUMO,1,0,9,0,0,0,3,13,8.0,Rural High Visitation
178,GWCA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
179,GWMP,0,0,1,0,0,0,5,6,5.0,Urban High Visitation
180,HAFE,1,0,11,0,0,0,2,14,1.0,Transit Parks
181,HAFO,0,0,0,0,0,0,7,7,7.0,Rural Low Visitation
182,HAGR,0,0,2,0,0,0,0,2,2.0,Urban Sites
183,HALE,3,0,13,1,0,0,2,19,8.0,Rural High Visitation
184,HAMP,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
185,HATU,0,0,0,0,0,0,2,2,,
186,HAVO,2,0,6,2,0,7,3,20,8.0,Rural High Visitation
187,HEHO,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
188,HOBE,0,0,0,0,0,0,27,27,7.0,Rural Low Visitation
189,HOCU,0,0,0,0,0,0,1,1,4.0,Urban Low Visitation
190,HOFR,6,0,0,0,0,0,2,8,1.0,Transit Parks
191,HOFU,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
192,HOME,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
193,HONO,0,0,0,0,0,0,0,0,,
194,HOSP,0,0,0,0,0,0,9,9,5.0,Urban High Visitation
195,HOVE,0,0,0,1,0,0,6,7,7.0,Rural Low Visitation
196,HSTR,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
197,HUTR,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
198,IATR,0,0,0,0,0,0,0,0,,
199,INDE,0,0,0,0,0,0,0,0,2.0,Urban Sites
200,INDU,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
201,ISRO,3,0,2,0,0,0,1,6,1.0,Transit Parks
202,JAGA,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
203,JAZZ,0,0,0,0,0,0,0,0,2.0,Urban Sites
204,JECA,0,1,3,0,0,2,10,16,6.0,High Seasonal Variation
205,JEFF,0,0,6,0,0,0,0,6,5.0,Urban High Visitation
206,JEFM,0,0,0,0,0,0,0,0,,
207,JELA,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
208,JICA,0,0,0,0,0,0,23,23,7.0,Rural Low Visitation
209,JODA,0,0,0,0,0,0,2,2,8.0,Rural High Visitation
210,JODR,6,9,5,0,1,0,18,39,8.0,Rural High Visitation
211,JOFI,0,0,0,0,0,0,7,7,2.0,Urban Sites
212,JOFL,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
213,JOMU,0,0,0,0,0,0,2,2,4.0,Urban Low Visitation
214,JOTR,0,0,5,1,0,0,0,6,8.0,Rural High Visitation
215,KAHO,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
216,KALA,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
217,KATM,0,2,3,0,0,0,0,5,6.0,High Seasonal Variation
218,KAWW,1,0,0,0,0,0,11,12,7.0,Rural Low Visitation
219,KEFJ,0,0,0,0,1,0,14,15,6.0,High Seasonal Variation
220,KEMO,0,0,0,0,0,0,28,28,1.0,Transit Parks
221,KEWE,0,0,0,0,0,0,28,28,3.0,Low Visitation Sites
222,KICA,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
223,KIMO,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
224,KLGO,0,0,0,0,0,1,0,1,6.0,High Seasonal Variation
225,KNRI,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
226,KOVA,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
227,KOWA,0,0,0,0,0,0,0,0,2.0,Urban Sites
228,LABE,0,0,0,0,0,0,16,16,7.0,Rural Low Visitation
229,LACH,1,3,0,0,0,0,6,10,1.0,Transit Parks
230,LACL,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
231,LAKE,2,0,131,0,0,0,4,137,8.0,Rural High Visitation
232,LAME,2,0,131,0,0,0,4,137,,
233,LAMR,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
234,LARO,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
235,LAVO,1,1,10,0,0,0,43,55,6.0,High Seasonal Variation
236,LECL,0,0,0,0,0,0,0,0,,
237,LEWI,0,0,2,0,0,0,30,32,8.0,Rural High Visitation
238,LIBI,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
239,LIBO,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
240,LIHO,0,0,0,3,0,0,35,38,4.0,Urban Low Visitation
241,LINC,0,0,0,0,0,0,0,0,2.0,Urban Sites
242,LIRI,0,2,0,0,0,0,69,71,5.0,Urban High Visitation
243,LODE,0,0,0,0,0,0,0,0,,
244,LONG,0,0,0,0,0,0,23,23,2.0,Urban Sites
245,LOSA,0,0,0,0,0,0,0,0,,
246,LOWE,1,0,1,0,0,0,2,4,1.0,Transit Parks
247,LYBA,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
248,LYJO,0,0,0,1,0,0,8,9,7.0,Rural Low Visitation
249,MABE,0,0,0,0,0,0,0,0,,
250,MABI,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
251,MACA,0,0,0,0,0,0,1,1,1.0,Transit Parks
252,MALL,1,0,4,0,1,0,2,8,,
253,MALU,0,0,0,0,0,0,4,4,2.0,Urban Sites
254,MAMC,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
255,MANA,0,0,1,0,0,0,24,25,5.0,Urban High Visitation
256,MANZ,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
257,MAPR,0,0,0,0,0,0,6,6,7.0,Rural Low Visitation
258,MAVA,0,0,0,0,0,0,15,15,6.0,High Seasonal Variation
259,MAWA,0,0,2,0,0,0,0,2,2.0,Urban Sites
260,MEVE,0,0,9,0,0,0,1,10,8.0,Rural High Visitation
261,MIIN,0,0,1,0,0,0,1,2,3.0,Low Visitation Sites
262,MIMA,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
263,MIMI,1,0,1,0,0,0,1,3,3.0,Low Visitation Sites
264,MISS,1,0,0,0,0,0,5,6,6.0,High Seasonal Variation
265,MLKM,0,0,0,0,0,0,0,0,2.0,Urban Sites
266,MNRR,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
267,MOCA,0,0,0,0,0,0,9,9,8.0,Rural High Visitation
268,MOCR,0,0,0,0,0,0,4,4,6.0,High Seasonal Variation
269,MOJA,0,0,1,0,0,0,4,5,8.0,Rural High Visitation
270,MONO,0,0,1,0,0,0,23,24,4.0,Urban Low Visitation
271,MORA,96,2,14,0,1,0,49,162,8.0,Rural High Visitation
272,MORR,0,0,1,0,0,0,16,17,4.0,Urban Low Visitation
273,MORU,2,0,0,0,0,0,5,7,8.0,Rural High Visitation
274,MUWO,1,0,0,0,0,0,5,6,1.0,Transit Parks
275,NABR,0,0,4,1,0,0,0,5,7.0,Rural Low Visitation
276,NACA,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
277,NACC,1,0,4,0,1,0,2,8,,
278,NAMA,1,0,4,0,1,0,2,8,1.0,Transit Parks
279,NATC,0,0,0,0,0,0,1,1,3.0,Low Visitation Sites
280,NATR,0,0,0,0,0,0,12,12,5.0,Urban High Visitation
281,NAVA,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
282,NEBE,0,0,0,0,0,0,8,8,4.0,Urban Low Visitation
283,NEPE,1,0,0,0,0,0,16,17,8.0,Rural High Visitation
284,NERI,1,0,0,0,0,0,8,9,8.0,Rural High Visitation
285,NICO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
286,NIOB,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
287,NISI,0,0,0,0,0,0,14,14,4.0,Urban Low Visitation
288,NOAT,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
289,NOCA,1,5,0,0,0,0,6,12,6.0,High Seasonal Variation
290,NPSA,1,0,1,0,0,0,0,2,6.0,High Seasonal Variation
291,NWWM,0,0,0,0,0,0,0,0,,
292,OBED,0,0,0,0,0,0,1,1,7.0,Rural Low Visitation
293,OBRI,0,0,0,0,0,0,0,0,,
294,OCMU,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
295,OLYM,0,2,1,0,0,0,16,19,8.0,Rural High Visitation
296,ORCA,0,0,0,0,0,0,6,6,7.0,Rural Low Visitation
297,ORPI,0,0,10,1,0,0,48,59,7.0,Rural Low Visitation
298,OZAR,0,1,0,1,0,0,2,4,1.0,Transit Parks
299,PAAL,0,0,0,2,0,0,0,2,6.0,High Seasonal Variation
300,PAAV,0,0,0,0,0,0,0,0,2.0,Urban Sites
301,PAGR,0,0,0,0,0,0,123,123,4.0,Urban Low Visitation
302,PAIS,0,0,5,0,0,0,2,7,8.0,Rural High Visitation
303,PECO,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
