,Unnamed: 0,index,website page,website location,park, bus ,shuttle,transit,public transportation,ferry,ferry service,subway,train,metro,total
6122,6122,38,https://home.nps.gov/common/utilities/sendmail/sendemail.cfm?o=4080CDB293ECADBD86A90A8FF707B8E3419250&r=https%3A%2F%2Fhome.nps.gov%2Fgree%2Fplanyourvisit%2Fdirections.htm,page doesn't exist,GREE,0,0,0,0,0,0,0,0,0,0
6123,6123,0,https://home.nps.gov/greg/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6124,6124,1,https://home.nps.gov/greg/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6125,6125,2,https://home.nps.gov/greg/planyourvisit/directions.htm#main,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6126,6126,3,https://home.nps.gov/greg/planyourvisit/directions.htm#ParkFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6127,6127,4,https://home.nps.gov/greg/planyourvisit/directions.htm#GlobalFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6128,6128,5,https://home.nps.gov/greg/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPark HomePlan Your VisitDirections & Transportation,GREG,0,0,0,0,0,0,0,0,0,0
6129,6129,6,https://home.nps.gov/greg/planyourvisit/index.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6130,6130,7,https://home.nps.gov/greg/planyourvisit/basicinfo.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6131,6131,8,https://home.nps.gov/greg/planyourvisit/hours.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6132,6132,9,https://home.nps.gov/greg/planyourvisit/fees.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6133,6133,10,https://home.nps.gov/greg/planyourvisit/conditions.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6134,6134,11,https://home.nps.gov/greg/planyourvisit/directions.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6135,6135,12,https://home.nps.gov/greg/planyourvisit/things2do.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6136,6136,13,https://home.nps.gov/greg/planyourvisit/events.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6137,6137,14,https://home.nps.gov/greg/planyourvisit/nearbyattractions.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6138,6138,15,https://home.nps.gov/greg/planyourvisit/calendar.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6139,6139,16,https://home.nps.gov/greg/planyourvisit/safety.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6140,6140,17,https://home.nps.gov/greg/planyourvisit/accessibility.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6141,6141,18,https://home.nps.gov/greg/planyourvisit/feesandreservations.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6142,6142,19,https://home.nps.gov/greg/planyourvisit/things2know.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6143,6143,20,https://home.nps.gov/planyourvisit/index.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6144,6144,21,https://home.nps.gov/planyourvisit/event-search.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6145,6145,22,https://home.nps.gov/planyourvisit/passes.htm,,GREG,0,0,0,0,0,0,0,0,0,0
6146,6146,23,https://home.nps.gov/planyourvisit/trip-ideas.htm,,GREG,0,0,0,0,0,0,0,2,0,2
6147,6147,24,https://home.nps.gov/greg/planyourvisit/maps.htm,page doesn't exist,GREG,0,0,0,0,0,0,0,0,0,0
6148,6148,0,https://home.nps.gov/grko/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6149,6149,1,https://home.nps.gov/grko/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6150,6150,2,https://home.nps.gov/grko/planyourvisit/directions.htm#main,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6151,6151,3,https://home.nps.gov/grko/planyourvisit/directions.htm#ParkFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6152,6152,4,https://home.nps.gov/grko/planyourvisit/directions.htm#GlobalFooter,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6153,6153,5,https://home.nps.gov/grko/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPark HomePlan Your VisitDirections & Transportation,GRKO,0,0,0,0,0,0,0,0,0,0
6154,6154,6,https://home.nps.gov/grko/planyourvisit/basicinfo.htm,NPS.govPark HomePlan Your VisitBasic Information,GRKO,0,0,0,0,0,0,0,0,0,0
6155,6155,7,https://home.nps.gov/grko/planyourvisit/conditions.htm,,GRKO,0,0,0,0,0,0,0,0,0,0
6156,6156,8,https://home.nps.gov/grko/planyourvisit/maps.htm,NPS.govPark HomePlan Your VisitDirections & TransportationMaps,GRKO,0,0,0,0,0,0,0,0,0,0
6157,6157,9,https://home.nps.gov/grko/planyourvisit/calendar.htm,,GRKO,0,0,0,0,0,0,0,0,0,0
6158,6158,10,https://home.nps.gov/grko/planyourvisit/fees.htm,,GRKO,0,0,0,0,0,0,0,0,0,0
6159,6159,0,https://home.nps.gov/grpo/planyourvisit/directions.htm#GlobalNav-toggle,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6160,6160,1,https://home.nps.gov/grpo/planyourvisit/directions.htm#LocalNav-desktop-nav,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6161,6161,2,https://home.nps.gov/grpo/planyourvisit/directions.htm#main,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6162,6162,3,https://home.nps.gov/grpo/planyourvisit/directions.htm#ParkFooter,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6163,6163,4,https://home.nps.gov/grpo/planyourvisit/directions.htm#GlobalFooter,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6164,6164,5,https://home.nps.gov/grpo/planyourvisit/directions.htm#GlobalFooterSearch,NPS.govPlan Your VisitDirections & Transportation,GRPO,1,0,2,0,0,0,0,0,0,3
6165,6165,6,https://home.nps.gov/grpo/planyourvisit/index.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6166,6166,7,https://home.nps.gov/grpo/planyourvisit/basicinfo.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6167,6167,8,https://home.nps.gov/grpo/planyourvisit/hours.htm,NPS.govPlan Your VisitBasic InformationOperating Hours & Seasons,GRPO,0,0,0,0,0,0,0,0,0,0
6168,6168,9,https://home.nps.gov/grpo/planyourvisit/fees.htm,,GRPO,1,0,0,0,0,0,0,0,0,1
6169,6169,10,https://home.nps.gov/grpo/planyourvisit/conditions.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6170,6170,11,https://home.nps.gov/grpo/planyourvisit/permitsandreservations.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6171,6171,12,https://home.nps.gov/grpo/planyourvisit/weather.htm,NPS.govPlan Your VisitBasic InformationWeather,GRPO,0,0,0,0,0,0,0,0,0,0
6172,6172,13,https://home.nps.gov/grpo/planyourvisit/pets.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6173,6173,14,https://home.nps.gov/grpo/planyourvisit/directions.htm,,GRPO,1,0,2,0,0,0,0,0,0,3
6174,6174,15,https://home.nps.gov/grpo/planyourvisit/maps.htm,NPS.govPlan Your VisitDirections & TransportationMaps,GRPO,0,0,0,0,0,0,0,0,0,0
6175,6175,16,https://home.nps.gov/grpo/planyourvisit/eatingsleeping.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6176,6176,17,https://home.nps.gov/grpo/planyourvisit/lodging.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6177,6177,18,https://home.nps.gov/grpo/planyourvisit/camping.htm,NPS.govPlan Your VisitEating & SleepingCamping,GRPO,0,0,0,0,0,0,0,0,0,0
6178,6178,19,https://home.nps.gov/grpo/planyourvisit/restaurants.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6179,6179,20,https://home.nps.gov/grpo/planyourvisit/places-to-go.htm,,GRPO,0,0,0,0,0,0,0,0,0,0
6180,6180,21,https://home.nps.gov/grpo/planyourvisit/things2do.htm,NPS.govPlan Your VisitThings To Do,GRPO,0,0,0,0,0,0,0,0,0,0
