,park,wheelchair,disability,impaired,disabilities,handicap, ada ,braille,disabled,handicapped,total,FinalCluster,Label
155,GEGR,2,2,0,1,0,1,0,0,0,6,6.0,High Seasonal Variation
156,GERO,6,6,1,5,0,0,2,0,0,20,4.0,Urban Low Visitation
157,GETT,2,2,0,1,0,0,0,0,0,5,5.0,Urban High Visitation
158,GEWA,7,11,0,6,0,0,2,0,0,26,7.0,Rural Low Visitation
159,GICL,6,5,0,3,0,0,1,0,0,15,7.0,Rural Low Visitation
160,GLAC,17,8,1,4,0,7,5,3,0,45,1.0,Transit Parks
161,GLBA,0,2,0,1,0,0,0,0,0,3,1.0,Transit Parks
162,GLCA,0,7,3,6,0,1,1,0,0,18,1.0,Transit Parks
163,GOGA,55,20,0,8,0,3,12,0,0,98,1.0,Transit Parks
164,GOIS,4,2,0,1,0,0,1,0,0,8,1.0,Transit Parks
165,GOSP,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
166,GRBA,32,10,0,10,0,24,13,0,0,89,8.0,Rural High Visitation
167,GRCA,35,11,0,13,2,8,0,0,0,69,1.0,Transit Parks
168,GREE,74,8,0,43,0,0,1,0,0,126,4.0,Urban Low Visitation
169,GREG,0,2,0,1,0,0,0,0,0,3,,
170,GRKO,0,16,0,0,0,0,0,0,0,16,3.0,Low Visitation Sites
171,GRPO,7,2,1,2,0,2,1,1,0,16,6.0,High Seasonal Variation
172,GRSA,8,2,2,1,1,0,0,0,1,15,6.0,High Seasonal Variation
173,GRSM,6,3,4,1,0,0,0,7,0,21,8.0,Rural High Visitation
174,GRTE,63,70,1,8,10,39,0,0,8,199,8.0,Rural High Visitation
175,GUCO,4,6,2,1,0,4,0,0,0,17,5.0,Urban High Visitation
176,GUIS,11,5,1,1,0,0,1,1,0,20,1.0,Transit Parks
177,GUMO,6,2,0,7,0,14,0,0,0,29,8.0,Rural High Visitation
178,GWCA,2,5,0,3,0,0,1,0,0,11,4.0,Urban Low Visitation
179,GWMP,1,2,1,2,1,0,0,0,1,8,5.0,Urban High Visitation
180,HAFE,3,2,0,2,0,19,7,0,0,33,1.0,Transit Parks
181,HAFO,2,4,0,4,0,0,5,0,0,15,7.0,Rural Low Visitation
182,HAGR,0,2,6,4,0,0,1,0,0,13,2.0,Urban Sites
183,HALE,4,4,0,2,0,0,0,0,0,10,8.0,Rural High Visitation
184,HAMP,1,2,0,4,0,23,0,0,0,30,4.0,Urban Low Visitation
185,HATU,1,2,0,1,1,0,0,0,1,6,,
186,HAVO,10,2,0,1,1,16,0,2,0,32,8.0,Rural High Visitation
187,HEHO,13,10,0,17,1,0,1,0,1,43,4.0,Urban Low Visitation
188,HOBE,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
189,HOCU,2,5,0,1,1,0,0,0,0,9,4.0,Urban Low Visitation
190,HOFR,40,4,1,48,0,24,10,0,0,127,1.0,Transit Parks
191,HOFU,0,3,3,2,3,16,1,1,0,29,4.0,Urban Low Visitation
192,HOME,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
193,HONO,0,2,0,1,0,0,0,0,0,3,,
194,HOSP,7,4,0,4,0,9,3,0,0,27,5.0,Urban High Visitation
195,HOVE,0,2,0,3,0,0,2,0,0,7,7.0,Rural Low Visitation
196,HSTR,5,3,3,2,0,0,3,0,0,16,3.0,Low Visitation Sites
197,HUTR,0,4,0,1,0,0,2,0,0,7,7.0,Rural Low Visitation
198,IATR,0,2,0,1,0,0,0,0,0,3,,
199,INDE,0,20,0,1,0,0,0,0,0,21,2.0,Urban Sites
200,INDU,9,3,0,1,0,0,1,0,0,14,5.0,Urban High Visitation
201,ISRO,2,4,0,1,0,3,5,1,0,16,1.0,Transit Parks
202,JAGA,5,3,0,1,0,0,0,0,0,9,3.0,Low Visitation Sites
203,JAZZ,0,2,0,1,0,0,0,0,0,3,2.0,Urban Sites
204,JECA,19,31,3,6,0,9,1,1,0,70,6.0,High Seasonal Variation
205,JEFF,5,3,2,3,0,0,0,0,0,13,5.0,Urban High Visitation
206,JEFM,0,2,0,1,0,0,0,0,0,3,,
207,JELA,2,3,0,30,0,0,9,0,0,44,4.0,Urban Low Visitation
208,JICA,7,2,1,3,1,0,1,1,0,16,7.0,Rural Low Visitation
209,JODA,4,2,1,1,0,0,0,0,0,8,8.0,Rural High Visitation
210,JODR,53,171,1,8,10,39,0,0,8,290,8.0,Rural High Visitation
211,JOFI,2,2,0,2,0,0,1,0,0,7,2.0,Urban Sites
212,JOFL,0,2,0,1,0,0,0,0,0,3,4.0,Urban Low Visitation
213,JOMU,5,4,0,1,0,3,1,0,0,14,4.0,Urban Low Visitation
214,JOTR,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
215,KAHO,0,3,0,1,0,0,0,0,0,4,4.0,Urban Low Visitation
216,KALA,1,2,0,1,0,0,0,0,0,4,7.0,Rural Low Visitation
217,KATM,3,2,0,1,0,2,5,0,0,13,6.0,High Seasonal Variation
218,KAWW,0,2,0,1,0,1,0,0,0,4,7.0,Rural Low Visitation
219,KEFJ,0,2,0,2,0,0,0,0,0,4,6.0,High Seasonal Variation
220,KEMO,1,9,2,2,0,1,5,1,0,21,1.0,Transit Parks
221,KEWE,2,2,0,2,0,1,0,0,0,7,3.0,Low Visitation Sites
222,KICA,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
223,KIMO,6,2,3,1,1,0,1,0,1,15,4.0,Urban Low Visitation
224,KLGO,6,2,0,1,0,0,1,0,0,10,6.0,High Seasonal Variation
225,KNRI,0,2,0,1,0,0,0,0,0,3,7.0,Rural Low Visitation
226,KOVA,2,2,1,1,1,0,0,0,0,7,6.0,High Seasonal Variation
227,KOWA,0,2,0,1,7,0,2,0,0,12,2.0,Urban Sites
228,LABE,2,3,0,2,0,0,0,0,0,7,7.0,Rural Low Visitation
229,LACH,1,5,0,2,0,1,0,0,0,9,1.0,Transit Parks
230,LACL,12,2,0,1,0,0,1,0,0,16,6.0,High Seasonal Variation
231,LAKE,4,10,1,5,0,0,5,1,0,26,8.0,Rural High Visitation
232,LAME,4,10,1,5,0,0,5,1,0,26,,
233,LAMR,0,3,0,3,0,0,0,0,0,6,8.0,Rural High Visitation
234,LARO,0,2,0,1,0,0,2,0,0,5,6.0,High Seasonal Variation
235,LAVO,30,3,1,2,0,12,0,2,0,50,6.0,High Seasonal Variation
236,LECL,0,2,1,1,0,0,3,0,0,7,,
237,LEWI,4,4,1,4,0,2,6,1,0,22,8.0,Rural High Visitation
238,LIBI,1,5,0,3,0,0,0,0,0,9,6.0,High Seasonal Variation
239,LIBO,3,3,0,3,0,0,0,0,0,9,6.0,High Seasonal Variation
240,LIHO,41,5,1,3,0,0,7,0,0,57,4.0,Urban Low Visitation
241,LINC,2,2,0,1,7,0,2,0,7,21,2.0,Urban Sites
242,LIRI,0,3,0,2,0,2,0,0,0,7,5.0,Urban High Visitation
243,LODE,0,2,0,1,0,0,0,0,0,3,,
244,LONG,5,4,0,7,15,0,2,0,1,34,2.0,Urban Sites
245,LOSA,0,2,0,1,0,0,0,0,0,3,,
246,LOWE,10,12,0,2,0,3,1,1,0,29,1.0,Transit Parks
247,LYBA,1,2,0,2,0,0,0,0,0,5,4.0,Urban Low Visitation
248,LYJO,7,2,1,2,0,0,0,0,0,12,7.0,Rural Low Visitation
249,MABE,0,0,0,0,0,0,0,0,0,0,,
250,MABI,4,2,0,2,0,0,1,0,0,9,7.0,Rural Low Visitation
251,MACA,1,2,0,1,0,1,2,0,0,7,1.0,Transit Parks
252,MALL,4,3,0,1,0,0,2,2,0,12,,
253,MALU,2,2,1,2,0,0,0,0,0,7,2.0,Urban Sites
254,MAMC,1,7,0,30,0,0,1,0,0,39,4.0,Urban Low Visitation
255,MANA,0,2,0,1,0,34,0,0,0,37,5.0,Urban High Visitation
256,MANZ,10,2,3,1,0,0,1,0,0,17,7.0,Rural Low Visitation
257,MAPR,8,5,0,7,0,0,0,0,0,20,7.0,Rural Low Visitation
258,MAVA,3,4,0,4,0,0,1,0,0,12,6.0,High Seasonal Variation
259,MAWA,2,2,0,1,0,0,0,0,0,5,2.0,Urban Sites
260,MEVE,0,2,0,1,0,0,0,0,0,3,8.0,Rural High Visitation
261,MIIN,0,3,0,4,0,0,0,0,0,7,3.0,Low Visitation Sites
262,MIMA,0,2,0,1,0,0,0,0,0,3,5.0,Urban High Visitation
263,MIMI,2,5,0,5,0,0,0,0,0,12,3.0,Low Visitation Sites
264,MISS,3,2,1,1,2,0,0,0,2,11,6.0,High Seasonal Variation
265,MLKM,2,2,0,1,7,0,2,0,0,14,2.0,Urban Sites
266,MNRR,0,2,0,1,0,0,0,0,0,3,6.0,High Seasonal Variation
267,MOCA,7,6,0,3,0,0,0,0,0,16,8.0,Rural High Visitation
268,MOCR,0,4,0,3,0,1,0,0,0,8,6.0,High Seasonal Variation
269,MOJA,6,2,1,1,0,1,0,2,0,13,8.0,Rural High Visitation
270,MONO,6,2,0,1,0,0,1,0,0,10,4.0,Urban Low Visitation
271,MORA,4,7,1,5,0,1,7,0,0,25,8.0,Rural High Visitation
272,MORR,1,5,0,1,0,0,1,0,0,8,4.0,Urban Low Visitation
273,MORU,10,8,2,7,1,2,3,0,1,34,8.0,Rural High Visitation
274,MUWO,11,4,0,8,0,8,4,0,0,35,1.0,Transit Parks
275,NABR,2,2,0,5,0,0,3,0,0,12,7.0,Rural Low Visitation
276,NACA,0,2,0,1,0,0,0,0,0,3,5.0,Urban High Visitation
