,park, ev ,electric vehicle, charger , alternative fuel , electric car , charging port , nrel , renewable energy ,total,FinalCluster,Label
114,ELRO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
115,EUON,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
116,EVER,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
117,FEHA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
118,FIIS,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
119,FILA,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
120,FLFO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
121,FLNI,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
122,FOBO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
123,FOBU,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
124,FOCA,0,0,0,7,0,0,0,0,7,4.0,Urban Low Visitation
125,FODA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
126,FODO,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
127,FOFR,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
128,FOLA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
129,FOLS,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
130,FOMA,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
131,FOMC,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
132,FOMR,0,0,0,0,0,0,0,0,0,,
133,FONE,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
134,FOPO,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
135,FOPU,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
136,FORA,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
137,FOSC,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
138,FOSM,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
139,FOST,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
140,FOSU,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
141,FOTH,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
142,FOUN,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
143,FOUS,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
144,FOVA,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
145,FOWA,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
146,FRDE,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
147,FRDO,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
148,FRHI,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
149,FRLA,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
150,FRSP,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
151,FRST,0,0,0,0,0,0,0,0,0,,
152,GAAR,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
153,GARI,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
154,GATE,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
155,GEGR,0,0,0,0,0,0,0,0,0,6.0,High Seasonal Variation
156,GERO,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
157,GETT,0,35,1,0,0,0,0,0,36,5.0,Urban High Visitation
158,GEWA,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
