park,wheelchair,accessibility,disability,impaired,disabilities,handicap,accessible,ada,barrier,ramp,braille,disabled,handicapped,total
PEVI,1,65,3,0,2,0,18,15,0,1,2,0,0,107
PINN,3,62,3,0,2,1,5,9,0,1,0,0,0,86
PIPE,7,53,2,0,2,0,14,10,0,0,0,0,0,88
PIRO,25,98,6,0,3,0,65,44,1,5,3,0,0,250
PISC,0,45,2,0,1,0,1,10,0,5,0,0,0,64
PISP,4,59,3,0,1,0,2,16,0,0,0,0,0,85
POCH,3,46,4,0,1,0,2,11,0,16,1,0,0,84
POHE,0,56,2,0,2,0,0,11,0,2,0,0,0,73
POPO,0,39,2,0,1,0,0,4,0,0,0,0,0,46
PORE,99,275,11,0,10,1,86,187,3,116,10,6,0,804
PRWI,0,46,20,0,3,1,1,8,0,9,0,0,1,89
PUHE,1,54,3,0,2,0,5,17,0,0,1,0,0,83
PUHO,0,32,2,0,1,0,0,8,0,0,0,0,0,43
PULL,3,49,2,0,1,1,5,9,1,1,3,0,0,75
RABR,0,57,2,0,1,1,8,9,0,0,0,0,1,79
REDW,16,98,6,1,3,0,22,22,1,0,10,0,0,179
RICH,4,46,2,0,1,0,4,8,0,0,0,0,0,65
RIGR,22,65,2,1,2,0,42,4,0,6,0,3,0,147
RIRA,2,51,4,0,1,2,7,10,0,0,0,0,0,77
ROCR,11,80,3,1,1,1,11,9,0,3,0,0,1,121
ROLA,1,115,5,0,2,0,28,16,1,10,0,0,0,178
ROMO,19,49,2,0,1,0,20,8,0,18,0,0,0,117
RORI,2,52,4,0,21,0,11,13,0,8,2,1,0,114
ROWI,2,45,2,0,1,0,6,8,0,0,0,0,0,64
RRBH,0,4,2,0,1,0,0,4,0,0,0,0,0,11
RUCA,4,42,4,0,1,1,6,8,0,0,1,0,1,68
SAAN,11,111,5,1,2,0,17,256,1,0,3,1,0,408
SACN,1,60,3,0,2,0,4,8,0,2,0,0,0,80
SACR,0,49,2,0,1,0,6,42,0,2,0,0,0,102
SAFR,1,65,2,0,1,0,7,19,0,0,7,0,0,102
SAGA,5,72,13,0,4,0,25,15,4,2,0,0,0,140
SAGU,0,4,2,0,1,0,0,4,0,0,0,0,0,11
SAHI,4,58,2,3,1,1,4,8,0,1,1,2,1,86
SAIR,1,39,2,0,1,1,5,8,0,7,0,0,0,64
SAJH,1,60,3,0,1,0,13,13,1,2,0,0,0,94
SAJU,0,50,3,0,2,0,8,10,0,21,1,0,0,95
SAMA,0,4,2,0,1,0,0,4,0,0,0,0,0,11
SAMO,0,117,2,1,2,1,9,31,0,1,1,0,0,165
SAND,4,48,4,0,3,0,10,10,0,0,1,0,0,80
SAPA,1,46,2,0,1,3,2,8,0,3,0,0,0,66
SAPU,0,32,2,0,1,0,0,8,0,0,0,0,0,43
SARA,5,73,4,0,3,28,38,26,0,0,0,0,0,177
SARI,0,40,2,0,1,0,1,8,0,0,0,0,0,52
SCBL,3,72,4,0,2,0,5,10,0,1,7,0,0,104
SEKI,48,572,6,2,3,0,220,150,3,7,8,1,0,1020
SEMO,3,47,2,0,1,0,3,8,0,1,1,0,0,66
SEQU,0,4,2,0,1,0,0,4,0,0,0,0,0,11
SHEN,0,20,2,0,1,0,1,9,0,0,0,0,0,33
SHIL,3,52,2,0,1,1,8,13,0,0,3,0,1,84
SITK,0,28,2,0,1,0,0,8,0,0,0,0,0,39
SLBE,16,104,3,2,3,4,67,22,2,10,12,4,1,250
SPAR,2,43,3,1,3,0,2,9,0,1,0,0,0,64
STEA,5,65,6,0,1,0,6,11,0,1,1,0,0,96
STLI,8,114,47,1,12,1,42,12,0,11,8,1,0,257
STON,1,44,2,0,1,0,1,8,0,1,0,0,0,58
STRI,2,64,2,0,1,0,7,12,0,0,1,0,0,89
SUCR,5,58,2,0,2,0,8,8,0,0,1,0,0,84
TAPR,11,59,3,1,1,1,22,14,0,3,3,0,0,118
THIS,1,54,2,0,2,0,4,8,0,3,0,0,0,74
THJE,2,48,2,0,1,7,6,8,0,0,2,0,0,76
THKO,0,41,2,0,1,0,11,5,0,1,0,0,0,61
THRB,3,53,3,0,1,0,3,9,0,0,1,0,0,73
THRI,2,58,2,1,3,2,7,22,0,0,0,0,2,99
THRO,1,39,2,0,1,0,3,9,0,1,0,0,0,56
THST,1,63,5,0,4,0,3,10,0,2,2,0,0,90
TICA,1,47,4,1,4,0,3,34,0,0,0,0,0,94
TIMU,3,80,5,2,4,0,4,12,1,11,4,0,0,126
TONT,0,56,4,0,1,0,5,30,0,0,0,0,0,96
TUAI,7,65,2,3,1,0,7,8,0,1,2,0,0,96
TUIN,6,57,2,2,1,0,6,8,0,2,1,0,0,85
TUMA,0,30,3,0,2,0,0,9,0,0,0,0,0,44
TUPE,2,43,2,0,1,0,10,4,0,0,2,0,0,64
TUSK,0,62,2,0,1,0,0,71,0,6,2,0,0,144
TUZI,0,30,5,0,2,0,0,8,0,0,0,0,0,45
ULSG,6,58,7,0,5,0,11,9,0,1,2,0,0,99
UPDE,1,59,2,1,1,0,3,13,0,1,0,0,0,81
VAFO,2,80,2,0,1,0,70,35,0,6,0,0,0,196
VALL,4,90,2,0,4,0,13,29,1,3,3,0,0,149
VALR,5,50,2,3,1,1,21,10,0,0,3,0,0,96
VAMA,4,115,4,1,3,0,5,13,0,0,1,0,0,146
VICK,0,15,2,0,1,0,0,8,0,26,0,0,0,52
VICR,0,45,2,0,1,0,8,4,0,0,0,0,0,60
VIIS,0,31,3,0,1,0,0,8,0,0,0,0,0,43
VIVE,0,54,2,0,1,7,2,8,0,0,2,0,7,83
VOYA,0,159,2,0,1,2,37,30,0,191,0,1,1,424
WABA,6,64,7,0,4,0,5,12,0,0,0,0,0,98
WACA,4,59,2,0,1,0,18,11,0,0,0,0,0,95
WACO,2,40,2,2,1,0,9,8,0,0,0,0,0,64
WAMO,8,59,7,0,21,7,13,9,1,1,6,0,7,139
WAPA,1,51,3,0,1,0,20,12,1,0,4,0,0,93
WASH,0,4,2,0,1,0,0,4,0,0,0,0,0,11
WEFA,6,51,3,0,2,0,8,8,0,0,0,0,0,78
WHHO,0,29,2,0,1,0,0,8,0,0,0,0,0,40
