,park,parking lot,parking,pull off,pulloff,pull-off,total space,parking space,oversized space,garage,parking spot,parking tag,vehicle space,parking area,total,FinalCluster,Label
187,HEHO,29,94,0,0,0,0,15,0,0,0,0,0,8,146,4.0,Urban Low Visitation
188,HOBE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
189,HOCU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
190,HOFR,23,101,0,0,0,0,20,0,0,5,0,0,21,170,1.0,Transit Parks
191,HOFU,38,57,0,0,0,0,0,0,0,1,0,0,2,98,4.0,Urban Low Visitation
192,HOME,0,2,0,0,0,0,0,0,0,0,0,0,1,3,7.0,Rural Low Visitation
193,HONO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
194,HOSP,6,56,0,0,0,0,0,0,6,0,0,0,9,77,5.0,Urban High Visitation
195,HOVE,11,21,0,0,0,0,0,0,0,0,0,0,9,41,7.0,Rural Low Visitation
196,HSTR,3,11,0,0,0,0,2,0,0,0,0,0,0,16,3.0,Low Visitation Sites
197,HUTR,1,1,0,0,0,0,0,0,0,0,0,0,0,2,7.0,Rural Low Visitation
198,IATR,0,8,0,0,0,0,0,0,0,0,0,0,0,8,,
199,INDE,0,30,0,0,0,0,0,0,42,0,0,0,0,72,2.0,Urban Sites
200,INDU,26,35,0,0,0,0,1,0,0,0,0,0,0,62,5.0,Urban High Visitation
201,ISRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
202,JAGA,1,4,0,0,0,0,1,0,0,0,0,0,0,6,3.0,Low Visitation Sites
203,JAZZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
204,JECA,16,22,2,0,0,0,3,0,0,0,0,0,0,43,6.0,High Seasonal Variation
205,JEFF,9,83,0,0,0,0,1,0,6,0,0,0,0,99,5.0,Urban High Visitation
206,JEFM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
207,JELA,27,44,0,0,0,0,2,0,0,2,0,0,3,78,4.0,Urban Low Visitation
208,JICA,15,41,0,0,0,0,0,0,0,5,0,0,2,63,7.0,Rural Low Visitation
209,JODA,1,1,0,0,0,0,0,0,0,0,0,0,0,2,8.0,Rural High Visitation
210,JODR,79,352,0,0,0,9,19,10,0,1,0,9,21,500,8.0,Rural High Visitation
211,JOFI,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2.0,Urban Sites
212,JOFL,13,13,0,0,0,0,0,0,0,0,0,0,0,26,4.0,Urban Low Visitation
213,JOMU,9,18,0,0,0,0,0,0,0,0,0,0,0,27,4.0,Urban Low Visitation
214,JOTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
215,KAHO,6,15,0,0,0,0,0,0,0,0,0,0,9,30,4.0,Urban Low Visitation
216,KALA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
217,KATM,0,2,0,0,0,0,0,0,0,0,0,0,1,3,6.0,High Seasonal Variation
218,KAWW,2,9,0,0,1,0,0,0,0,0,0,0,5,17,7.0,Rural Low Visitation
219,KEFJ,18,34,0,0,0,0,0,0,0,0,0,0,3,55,6.0,High Seasonal Variation
