,park, uber , lyft ,ridehailing,ridesharing, cab , taxi ,ride-hailing,ride-sharing,ride hailing,ride sharing,ride share,rideshare,total,FinalCluster,Label
110,EDAL,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
111,EDIS,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
112,EFMO,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
113,EISE,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
114,ELMA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
115,ELMO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
116,ELRO,0,0,0,0,0,6,0,0,0,0,0,0,6,4.0,Urban Low Visitation
117,EUON,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
118,EVER,1,0,0,0,0,4,0,0,0,2,1,0,8,8.0,Rural High Visitation
119,FEHA,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,Urban Sites
120,FIIS,0,0,0,0,0,11,0,0,0,0,0,0,11,1.0,Transit Parks
121,FILA,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0,Low Visitation Sites
122,FLFO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
123,FLNI,0,0,0,0,0,0,0,0,0,0,0,0,0,8.0,Rural High Visitation
124,FOBO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
125,FOBU,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
126,FOCA,0,0,0,0,0,1,0,0,0,0,2,0,3,4.0,Urban Low Visitation
127,FODA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
128,FODO,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
129,FOFR,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
130,FOLA,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
131,FOLS,0,0,0,0,0,0,0,0,0,0,0,0,0,7.0,Rural Low Visitation
132,FOMA,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Transit Parks
133,FOMC,0,0,0,0,0,3,0,0,0,0,26,0,29,5.0,Urban High Visitation
134,FOMR,0,0,0,0,0,0,0,0,0,0,0,0,0,,
135,FONE,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0,Urban Low Visitation
136,FOPO,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,Urban High Visitation
