,park,Driving_Directions,Public_transportation_information,Bike_Pedestrian_Information,Congestion_information,Accessibility,Alternative_Fueling_Stations,Travel_Distance_Final,Parking_Experience_information,Transportation_experience_information,Parking_information
196,HSTR,1,0,0,0,0,0,1,0,1,0
197,HUTR,1,1,0,0,0,0,0,0,1,0
198,IATR,1,1,0,0,0,0,0,1,1,1
199,INDE,1,1,1,0,0,0,1,1,1,1
200,INDU,1,1,0,0,0,0,1,1,1,1
201,ISRO,1,1,0,1,0,0,1,0,1,0
202,JAGA,1,0,0,0,0,0,1,0,1,0
203,JAZZ,1,0,0,0,0,0,0,0,0,0
204,JECA,1,1,1,0,0,0,1,0,1,0
205,JEFF,1,1,0,0,0,0,0,1,1,1
206,JEFM,1,0,0,0,0,0,0,0,0,0
207,JELA,1,1,0,0,0,0,1,0,1,0
208,JICA,1,1,1,0,0,0,1,0,1,0
209,JODA,1,0,0,0,0,0,1,0,1,0
210,JODR,1,1,1,1,0,0,1,1,1,1
211,JOFI,1,1,0,0,0,1,0,0,1,0
212,JOFL,1,1,0,0,0,0,0,1,1,1
213,JOMU,1,1,1,0,0,0,0,1,1,1
214,JOTR,1,1,1,0,0,0,1,0,1,0
215,KAHO,1,0,0,0,0,0,1,1,1,1
216,KALA,1,0,0,0,0,0,1,0,1,0
217,KATM,1,1,1,0,0,0,1,0,1,0
218,KAWW,1,1,1,1,0,0,1,0,1,0
219,KEFJ,1,1,0,0,0,0,1,1,1,1
220,KEMO,1,1,1,0,0,0,1,1,1,1
221,KEWE,1,1,1,0,0,0,1,0,1,0
222,KICA,1,0,0,0,0,0,0,0,0,0
223,KIMO,1,0,0,0,0,0,0,0,1,0
224,KLGO,1,1,0,0,0,0,1,1,1,1
225,KNRI,1,1,0,0,0,0,0,1,1,1
226,KOVA,1,0,0,0,0,0,1,0,1,0
227,KOWA,1,1,0,0,0,0,1,1,1,1
228,LABE,1,1,1,0,0,0,1,1,1,1
229,LACH,1,1,1,1,0,1,1,1,1,1
230,LACL,1,0,0,0,0,0,1,0,1,0
231,LAKE,1,1,1,1,0,0,1,0,1,0
232,LAME,1,1,1,1,0,0,1,0,1,0
233,LAMR,1,0,1,0,0,0,1,0,1,0
234,LARO,1,0,0,0,0,0,1,0,1,0
235,LAVO,1,1,1,1,0,1,1,1,1,1
236,LECL,1,0,1,0,0,0,1,0,1,0
237,LEWI,1,1,0,0,0,0,1,0,1,0
238,LIBI,1,1,0,0,0,0,1,0,1,0
239,LIBO,1,0,1,0,0,0,1,0,1,0
240,LIHO,1,1,0,0,0,0,0,1,1,1
241,LINC,1,1,0,0,0,0,0,1,1,1
242,LIRI,1,1,1,0,0,0,1,0,1,0
243,LODE,1,0,1,0,0,0,1,0,1,0
244,LONG,1,1,0,0,0,0,0,1,1,1
245,LOSA,1,0,0,0,0,0,0,0,0,0
246,LOWE,1,1,0,1,0,0,1,1,1,1
247,LYBA,1,1,1,0,0,0,1,1,1,1
248,LYJO,1,1,0,0,0,0,1,1,1,1
249,MABE,0,0,0,0,0,0,0,0,0,0
250,MABI,1,1,0,0,0,0,1,1,1,1
251,MACA,1,1,1,0,0,1,1,1,1,1
252,MALL,1,1,0,1,0,0,1,1,1,1
253,MALU,1,1,0,0,0,1,1,1,1,1
254,MAMC,1,1,0,0,0,0,0,1,1,1
255,MANA,1,1,0,0,0,0,1,1,1,1
256,MANZ,1,1,1,0,0,0,0,0,1,0
257,MAPR,1,0,0,0,0,0,0,0,1,0
258,MAVA,1,0,0,0,0,0,0,0,1,0
259,MAWA,1,0,0,0,0,0,0,1,1,1
260,MEVE,1,0,1,0,0,1,0,0,1,0
261,MIIN,1,1,0,0,0,0,0,1,1,1
262,MIMA,1,0,0,0,0,0,0,0,0,0
263,MIMI,1,1,0,1,0,0,1,0,1,0
264,MISS,1,1,1,1,0,1,1,1,1,1
265,MLKM,1,1,0,0,0,0,1,1,1,1
266,MNRR,1,1,0,0,0,0,1,1,1,1
267,MOCA,1,0,0,0,0,0,1,0,1,0
268,MOCR,1,0,0,0,0,0,0,0,1,0
269,MOJA,1,1,1,0,0,0,1,1,1,1
270,MONO,1,0,0,0,0,0,1,0,1,0
271,MORA,1,1,1,1,0,0,1,1,1,1
272,MORR,1,1,1,0,0,0,1,0,1,0
273,MORU,1,1,0,1,0,0,1,1,1,1
274,MUWO,1,1,0,1,0,0,1,1,1,1
275,NABR,1,1,1,0,0,0,1,0,1,0
276,NACA,1,0,0,0,0,0,0,0,0,0
277,NACC,1,1,0,1,0,0,1,1,1,1
278,NAMA,1,1,0,1,0,0,1,1,1,1
279,NATC,1,0,0,0,0,0,0,0,1,0
280,NATR,1,1,1,0,0,0,1,1,1,1
281,NAVA,1,0,0,0,0,0,0,0,1,0
282,NEBE,1,1,0,0,0,0,1,1,1,1
283,NEPE,1,1,1,1,0,0,1,0,1,0
284,NERI,1,1,1,1,0,0,1,0,1,0
285,NICO,1,0,0,0,0,0,0,0,1,0
286,NIOB,1,0,0,0,0,0,0,0,0,0
287,NISI,1,0,0,0,0,0,1,0,1,0
288,NOAT,1,1,0,0,0,0,0,0,1,0
289,NOCA,1,1,1,1,0,1,1,1,1,1
290,NPSA,1,1,0,0,0,0,0,0,1,0
291,NWWM,1,1,0,0,0,0,1,1,1,1
292,OBED,1,1,1,0,0,0,1,0,1,0
293,OBRI,1,0,0,0,0,0,0,0,0,0
294,OCMU,1,1,1,0,0,1,0,0,1,0
295,OLYM,1,1,1,0,0,0,1,0,1,0
296,ORCA,1,0,0,0,0,0,1,1,1,1
297,ORPI,1,1,1,0,0,0,1,0,1,0
298,OZAR,1,1,1,0,0,0,1,0,1,0
299,PAAL,1,0,0,0,0,0,0,0,1,0
300,PAAV,1,1,0,0,0,0,1,1,1,1
301,PAGR,1,1,1,0,0,0,0,1,1,1
302,PAIS,1,1,1,0,0,1,1,0,1,0
303,PECO,1,1,0,0,0,0,1,0,1,0
304,PEFO,1,1,0,0,0,0,1,0,1,0
305,PERI,1,1,1,0,0,0,1,0,1,0
306,PETE,1,0,1,0,0,0,0,1,1,1
307,PETR,1,1,0,1,0,0,1,1,1,1
308,PEVI,1,1,1,1,0,0,1,1,1,1
309,PINN,1,1,0,0,0,0,1,0,1,0
310,PIPE,1,1,0,0,0,0,1,1,1,1
311,PIRO,1,1,1,0,0,0,1,1,1,1
312,PISC,1,0,0,0,0,0,1,1,1,1
313,PISP,1,1,0,0,0,0,1,0,1,0
314,POCH,1,1,0,0,0,0,1,1,1,1
315,POHE,1,1,1,0,0,0,0,0,1,0
316,POPO,1,0,0,0,0,0,0,0,1,0
317,PORE,1,1,1,1,0,1,1,1,1,1
318,PRWI,1,1,0,0,0,0,0,0,1,0
319,PUHE,1,1,1,0,0,0,1,0,1,0
320,PUHO,1,0,0,0,0,0,1,0,1,0
321,PULL,1,1,0,0,0,0,1,1,1,1
322,RABR,1,1,0,0,0,0,1,0,1,0
323,REDW,1,1,1,0,0,0,1,1,1,1
324,RICH,1,1,1,1,0,0,1,0,1,0
325,RIGR,1,1,0,0,0,0,1,0,1,0
326,RIRA,1,0,1,0,0,0,1,0,1,0
327,ROCR,1,1,1,0,0,0,1,1,1,1
328,ROLA,1,1,1,1,0,1,1,0,1,0
329,ROMO,1,1,1,0,0,0,1,0,1,0
330,RORI,1,1,0,0,0,0,1,1,1,1
331,ROWI,1,1,0,0,0,0,0,1,1,1
332,RRBH,1,0,0,0,0,0,0,0,0,0
333,RUCA,1,0,0,0,0,0,0,0,1,0
334,SAAN,1,1,1,0,0,0,1,1,1,1
335,SACN,1,1,1,0,0,0,1,0,1,0
336,SACR,1,1,1,0,0,0,1,0,1,0
337,SAFR,1,1,1,0,0,0,0,1,1,1
338,SAGA,1,1,0,0,0,0,1,1,1,1
339,SAGU,1,0,0,0,0,0,0,0,0,0
340,SAHI,1,1,1,0,0,0,1,1,1,1
341,SAIR,1,1,0,0,0,0,1,0,1,0
342,SAJH,1,1,1,0,0,0,1,0,1,0
343,SAJU,1,1,0,0,0,0,1,0,1,0
344,SAMA,1,0,0,0,0,0,0,0,0,0
345,SAMO,1,1,1,0,0,0,1,1,1,1
346,SAND,1,1,0,0,0,0,1,1,1,1
347,SAPA,1,1,0,0,0,0,0,0,1,0
348,SAPU,1,1,0,0,0,0,0,1,1,1
349,SARA,1,1,1,0,0,0,1,1,1,1
350,SARI,1,0,0,0,0,0,1,0,1,0
351,SCBL,1,1,0,1,0,0,1,0,1,0
352,SEKI,1,1,1,1,0,0,1,1,1,1
353,SEMO,1,0,0,0,0,0,1,0,1,0
354,SEQU,1,0,0,0,0,0,0,0,0,0
355,SHEN,1,0,0,0,0,0,1,0,1,0
356,SHIL,1,0,1,0,0,0,1,0,1,0
357,SITK,1,1,1,0,0,0,0,0,1,0
358,SLBE,1,1,1,0,0,0,1,1,1,1
359,SPAR,1,0,0,0,0,0,0,0,1,0
360,STEA,1,1,1,0,0,0,0,0,1,0
361,STLI,1,1,0,0,0,0,0,1,1,1
362,STON,1,1,0,0,0,0,0,0,1,0
363,STRI,1,0,1,0,0,0,1,1,1,1
364,SUCR,1,1,1,0,0,0,1,0,1,0
365,TAPR,1,0,1,0,0,1,1,1,1,1
366,THIS,1,1,1,0,0,0,1,1,1,1
367,THJE,1,1,0,0,0,0,1,1,1,1
368,THKO,1,1,0,0,0,0,0,1,1,1
369,THRB,1,1,0,0,0,0,0,1,1,1
370,THRI,1,1,0,0,0,0,0,1,1,1
371,THRO,1,1,1,0,0,0,1,0,1,0
372,THST,1,1,0,0,0,0,1,0,1,0
373,TICA,1,1,0,0,0,0,1,0,1,0
374,TIMU,1,1,1,0,0,1,1,0,1,0
375,TONT,1,0,0,0,0,0,1,0,1,0
376,TUAI,1,1,0,0,0,0,0,0,1,0
377,TUIN,1,1,0,0,0,0,0,1,1,1
378,TUMA,1,0,0,0,0,0,0,0,1,0
379,TUPE,1,0,0,0,0,0,1,1,1,1
380,TUSK,1,0,1,0,0,0,0,1,1,1
