Park Name,Park Full Name,Type of Unit,State,Reg,Alpha,Unit
Edgar Allan Poe,Edgar Allan Poe National Historic Site,National Historic Site,PA,NER,EDAL,1
Thomas Edison,Thomas Edison National Historical Park,National Historical Park,NJ,NER,EDIS,1
Eisenhower,Eisenhower National Historic Site,National Historic Site,PA,NER,EISE,1
Eleanor Roosevelt,Eleanor Roosevelt National Historic Site,National Historic Site,NY,NER,ELRO,1
Federal Hall,Federal Hall National Memorial,National Memorial,NY,NER,FEHA,1
Fire Island,Fire Island National Seashore,National Seashore,NY,NER,FIIS,1
Flight 93,Flight 93 National Memorial,National Memorial,PA,NER,FLNI,1
Fort McHenry,Fort McHenry National Monument and Historic Shrine,National Monument and Historic Shrine,MD,NER,FOMC,1
Fort Monroe,Fort Monroe,National Monument,VA,NER,FOMR,1
Fort Necessity,Fort Necessity National Battlefield,National Battlefield,PA,NER,FONE,1
Fort Stanwix,Fort Stanwix National Monument,National Monument,NY,NER,FOST,1
Friendship Hill,Friendship Hill National Historic Site,National Historic Site,PA,NER,FRHI,1
Frederick Law Olmsted,Frederick Law Olmsted National Historic Site,National Historic Site,MA,NER,FRLA,1
Fredericksburg & Spotsylvania,Fredericksburg and Spotsylvania County Battlefields Memorial National Military Park,National Military Park,VA,NER,FRSP,1
First State,First State,National Monument,DE,NER,FRST,1
Gauley River,Gauley River National Recreation Area,National Recreation Area,WV,NER,GARI,1
Gateway,Gateway National Recreation Area,National Recreation Area,"NY,NJ",NER,GATE,1
General Grant,General Grant National Memorial,National Memorial,NY,NER,GEGR,1
Gettysburg,Gettysburg National Military Park,National Military Park,PA,NER,GETT,1
George Washington Birthplace,George Washington Birthplace National Monument,National Monument,VA,NER,GEWA,1
Governors Island,Governors Island National Monument,National Monument,NY,NER,GOIS,1
Great Egg Harbor River,Great Egg Harbor River,River,NJ,NER,GREG,1
Hamilton Grange,Hamilton Grange National Memorial,National Memorial,NY,NER,HAGR,1
Hampton,Hampton National Historic Site,National Historic Site,MD,NER,HAMP,1
Home Of Franklin D Roosevelt,Home of Franklin D. Roosevelt National Historic Site,National Historic Site,NY,NER,HOFR,1
Hopewell Furnace,Hopewell Furnace National Historic Site,National Historic Site,PA,NER,HOFU,1
Independence,Independence National Historical Park,National Historical Park,PA,NER,INDE,1
John F Kennedy,John Fitzgerald Kennedy National Historic Site,National Historic Site,MA,NER,JOFI,1
Johnstown Flood,Johnstown Flood National Memorial,National Memorial,PA,NER,JOFL,1
Longfellow,Longfellow House-Washington's Headquarters National Historic Site,National Historic Site,MA,NER,LONG,1
Lowell,Lowell National Historical Park,National Historical Park,MA,NER,LOWE,1
Marsh - Billings - Rockefeller,Marsh-Billings-Rockefeller National Historical Park,National Historical Park,VT,NER,MABI,1
Martin Van Buren,Martin Van Buren National Historic Site,National Historic Site,NY,NER,MAVA,1
Maggie L Walker,Maggie L Walker,National Historic Site,VA,NER,MAWA,1
Minute Man,Minute Man National Historical Park,National Historical Park,MA,NER,MIMA,1
Morristown,Morristown National Historical Park,National Historical Park,NJ,NER,MORR,1
New Bedford Whaling,New Bedford Whaling National Historical Park,National Historical Park,MA,NER,NEBE,1
New River Gorge,New River Gorge National Park and Preserve,National River,WV,NER,NERI,1
Paterson Great Falls,Paterson Great Falls National Historical Park,National Historical Park,NJ,NER,PAGR,1
Petersburg,Petersburg National Battlefield,National Battlefield,VA,NER,PETE,1
Richmond,Richmond National Battlefield Park,National Battlefield Park,VA,NER,RICH,1
Roger Williams,Roger Williams National Memorial,National Memorial,RI,NER,ROWI,1
Saint Croix Island,Saint Croix Island International Historic Site,International Historic Site,ME,NER,SACR,1
Saint-Gaudens,Saint-Gaudens National Historical Park,National Historic Site,NH,NER,SAGA,1
Sagamore Hill,Sagamore Hill National Historic Site,National Historic Site,NY,NER,SAHI,1
Saugus Iron Works,Saugus Iron Works National Historic Site,National Historic Site,MA,NER,SAIR,1
Salem Maritime,Salem Maritime National Historic Site,National Historic Site,MA,NER,SAMA,1
Saint Paul's Church,Saint Paul's Church National Historic Site,National Historic Site,NY,NER,SAPA,1
Saratoga,Saratoga National Historical Park,National Historical Park,NY,NER,SARA,1
Shenandoah,Shenandoah National Park,National Park,VA,NER,SHEN,1
Springfield Armory,Springfield Armory National Historic Site,National Historic Site,MA,NER,SPAR,1
Steamtown,Steamtown National Historic Site,National Historic Site,PA,NER,STEA,1
Statue Of Liberty,Statue of Liberty National Monument,National Monument,NY,NER,STLI,1
Thaddeus Kosciuszko,Thaddeus Kosciuszko National Memorial,National Memorial,PA,NER,THKO,1
Theodore Roosevelt Birthplace,Theodore Roosevelt Birthplace National Historic Site,National Historic Site,NY,NER,THRB,1
Theodore Roosevelt Inaugural,Theodore Roosevelt Inaugural National Historic Site,National Historic Site,NY,NER,THRI,1
Thomas Stone,Thomas Stone National Historic Site,National Historic Site,MD,NER,THST,1
Upper Delaware,Upper Delaware Scenic and Recreational River,Scenic & Recreational River,"NY,PA",NER,UPDE,1
Valley Forge,Valley Forge National Historical Park,National Historical Park,PA,NER,VAFO,1
Vanderbilt Mansion,Vanderbilt Mansion National Historic Site,National Historic Site,NY,NER,VAMA,1
Weir Farm,Weir Farm National Historical Park,National Historic Site,CT,NER,WEFA,1
Women's Rights,Women's Rights National Historical Park,National Historical Park,NY,NER,WORI,1
Ala Kahakai,Ala Kahakai National Historic Trail,National Historic Trail,HI,PWR,ALKA,1
American Memorial Park,American Memorial Park,Memorial Park,MP,PWR,AMME,1
Castle Mountains,Castle Mountains National Monument,National Monument,CA,PWR,CAMO,1
Craters of the Moon,Craters of the Moon National Preserve,National Preserve,ID,PWR,CRMP,1
Honouliuli,Honouliuli National Monument,National Monument,HI,PWR,HONO,1
Kings Canyon,Kings Canyon National Park,National Park,CA,PWR,KICA,1
Lake Mead,Lake Mead National Recreation Area,National Recreation Area,NV,PWR,LAKE,1
Sequoia,Sequoia National Park,National Park,CA,PWR,SEQU,1
Tule Springs Fossil Beds,Tule Springs Fossil Beds National Monument,National Monument,NV,PWR,TUSK,1
Big Hole,Big Hole National Battlefield,National Battlefield,MT,PWR,BIHO,1
Cabrillo,Cabrillo National Monument,National Monument,CA,PWR,CABR,1
César E. Chávez,César E. Chávez,National Monument,CA,PWR,CECH,1
Channel Islands,Channel Islands National Park,National Park,CA,PWR,CHIS,1
City Of Rocks,City of Rocks National Reserve,National Reserve,ID,PWR,CIRO,1
Crater Lake,Crater Lake National Park,National Park,OR,PWR,CRLA,1
Craters Of The Moon,Craters of the Moon National Monument and Preserve,National Monument & Preserve,ID,PWR,CRMO,2
Devils Postpile,Devils Postpile National Monument,National Monument,CA,PWR,DEPO,1
Ebey's Landing,Ebey's Landing,National Historical Reserve,WA,PWR,EBLA,1
Eugene O'Neill,Eugene O'Neill National Historic Site,National Historic Site,CA,PWR,EUON,1
Fort Point,Fort Point National Historic Site,National Historic Site,CA,PWR,FOPO,1
Fort Vancouver,Fort Vancouver National Historic Site,National Historic Site,WA,PWR,FOVA,1
Golden Gate,Golden Gate National Recreation Area,National Recreation Area,CA,PWR,GOGA,1
Great Basin,Great Basin National Park,National Park,NV,PWR,GRBA,1
Hagerman Fossil Beds,Hagerman Fossil Beds National Monument,National Monument,ID,PWR,HAFO,1
Haleakala,Haleakala National Park,National Park,HI,PWR,HALE,1
Hawaii Volcanoes,Hawai'i Volcanoes National Park,National Park,HI,PWR,HAVO,1
John Day Fossil Beds,John Day Fossil Beds National Monument,National Monument,OR,PWR,JODA,1
John Muir,John Muir National Historic Site,National Historic Site,CA,PWR,JOMU,1
Joshua Tree,Joshua Tree National Park,National Park,CA,PWR,JOTR,1
Kaloko-Honokohau,Kaloko-Honokohau National Historical Park,National Historical Park,HI,PWR,KAHO,1
Kalaupapa,Kalaupapa National Historical Park,National Historical Park,HI,PWR,KALA,1
Lava Beds,Lava Beds National Monument,National Monument,CA,PWR,LABE,1
Lake Chelan,Lake Chelan National Recreation Area,National Recreation Area,WA,PWR,LACH,1
Lake Mead,Lake Mead,National Recreation Area,"AZ,NV",PWR,LAME,1
Lake Roosevelt,Lake Roosevelt National Recreation Area,National Recreation Area,WA,PWR,LARO,1
Lassen Volcanic,Lassen Volcanic National Park,National Park,CA,PWR,LAVO,1
Lewis and Clark,Lewis and Clark National Historical Park,National Historical Park,OR,PWR,LEWI,1
Manzanar,Manzanar National Historic Site,National Historic Site,CA,PWR,MANZ,1
Minidoka,Minidoka National Historic Site,National Historic Site,ID,PWR,MIIN,1
Mojave,Mojave National Preserve,National Preserve,CA,PWR,MOJA,1
Mount Rainier,Mount Rainier National Park,National Park,WA,PWR,MORA,1
Muir Woods,Muir Woods National Monument,National Monument,CA,PWR,MUWO,1
Nez Perce,Nez Perce National Historical Park,National Historical Park,"ID,MT,OR,WA",PWR,NEPE,1
North Cascades,North Cascades National Park,National Park,WA,PWR,NOCA,1
American Samoa,National Park of American Samoa,National Park,AS,PWR,NPSA,1
