trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,continuous_pickup,continuous_drop_off,shape_dist_traveled,timepoint
village_winter_T18,,,2,2,,,,,,1.367,0
village_winter_T18,,,3,3,,,,,,1.88,0
village_winter_T18,,,4,4,,,,,,3.203,0
village_winter_T18,,,5,5,,,,,,3.569,0
village_winter_T18,,,6,6,,,,,,3.814,0
village_winter_T18,,,7,7,,,,,,4.369,0
village_winter_T18,,,8,8,,,,,,4.704,0
village_winter_T18,,,9,9,,,,,,5.364,0
village_winter_T18,,,10,10,,,,,,5.849,0
village_winter_T18,,,11,11,,,,,,6.849,0
village_winter_T18,,,12,12,,,,,,7.329,0
village_winter_T18,,,13,13,,,,,,7.891,0
village_winter_T18,,,14,14,,,,,,8.614,0
village_winter_T18,12:50:00,12:50:00,1,15,,,,,,10.432,1
village_winter_T19,12:10:00,12:10:00,1,1,,,,,,0.0,1
village_winter_T19,,,2,2,,,,,,1.367,0
village_winter_T19,,,3,3,,,,,,1.88,0
village_winter_T19,,,4,4,,,,,,3.203,0
village_winter_T19,,,5,5,,,,,,3.569,0
village_winter_T19,,,6,6,,,,,,3.814,0
village_winter_T19,,,7,7,,,,,,4.369,0
village_winter_T19,,,8,8,,,,,,4.704,0
village_winter_T19,,,9,9,,,,,,5.364,0
village_winter_T19,,,10,10,,,,,,5.849,0
village_winter_T19,,,11,11,,,,,,6.849,0
village_winter_T19,,,12,12,,,,,,7.329,0
village_winter_T19,,,13,13,,,,,,7.891,0
village_winter_T19,,,14,14,,,,,,8.614,0
village_winter_T19,13:00:00,13:00:00,1,15,,,,,,10.432,1
village_winter_T20,12:20:00,12:20:00,1,1,,,,,,0.0,1
village_winter_T20,,,2,2,,,,,,1.367,0
village_winter_T20,,,3,3,,,,,,1.88,0
village_winter_T20,,,4,4,,,,,,3.203,0
village_winter_T20,,,5,5,,,,,,3.569,0
village_winter_T20,,,6,6,,,,,,3.814,0
village_winter_T20,,,7,7,,,,,,4.369,0
village_winter_T20,,,8,8,,,,,,4.704,0
village_winter_T20,,,9,9,,,,,,5.364,0
village_winter_T20,,,10,10,,,,,,5.849,0
village_winter_T20,,,11,11,,,,,,6.849,0
village_winter_T20,,,12,12,,,,,,7.329,0
village_winter_T20,,,13,13,,,,,,7.891,0
village_winter_T20,,,14,14,,,,,,8.614,0
village_winter_T20,13:10:00,13:10:00,1,15,,,,,,10.432,1
village_winter_T21,12:30:00,12:30:00,1,1,,,,,,0.0,1
village_winter_T21,,,2,2,,,,,,1.367,0
village_winter_T21,,,3,3,,,,,,1.88,0
