ID,ZONE NAME,DATE,HOURS,HOUR GROUP,FOTSC SUM
4702,Ocean Drive,2021-05-07,5,,16.0
4702,Ocean Drive,2021-05-07,6,6-9,18.0
4702,Ocean Drive,2021-05-07,7,6-9,18.0
4702,Ocean Drive,2021-05-07,8,6-9,38.0
4702,Ocean Drive,2021-05-07,9,6-9,65.0
4702,Ocean Drive,2021-05-07,10,9-12,105.0
4702,Ocean Drive,2021-05-07,11,9-12,107.0
4702,Ocean Drive,2021-05-07,12,9-12,93.0
4702,Ocean Drive,2021-05-07,13,12-15,87.0
4702,Ocean Drive,2021-05-07,14,12-15,80.0
4702,Ocean Drive,2021-05-07,15,12-15,67.0
4702,Ocean Drive,2021-05-07,16,15-18,63.0
4702,Ocean Drive,2021-05-07,17,15-18,43.0
4702,Ocean Drive,2021-05-07,18,15-18,40.0
4702,Ocean Drive,2021-05-07,19,18-21,26.0
4702,Ocean Drive,2021-05-07,20,18-21,12.0
4702,Ocean Drive,2021-05-07,21,18-21,10.0
4702,Ocean Drive,2021-05-07,22,,4.0
4702,Ocean Drive,2021-05-07,23,,3.0
4702,Ocean Drive,2021-05-08,0,,1.0
4702,Ocean Drive,2021-05-08,1,,0.0
4702,Ocean Drive,2021-05-08,2,,0.0
4702,Ocean Drive,2021-05-08,3,,1.0
4702,Ocean Drive,2021-05-08,4,,1.0
4702,Ocean Drive,2021-05-08,5,,9.0
4702,Ocean Drive,2021-05-08,6,6-9,11.0
4702,Ocean Drive,2021-05-08,7,6-9,24.0
4702,Ocean Drive,2021-05-08,8,6-9,36.0
4702,Ocean Drive,2021-05-08,9,6-9,91.0
4702,Ocean Drive,2021-05-08,10,9-12,117.0
4702,Ocean Drive,2021-05-08,11,9-12,134.0
4702,Ocean Drive,2021-05-08,12,9-12,115.0
4702,Ocean Drive,2021-05-08,13,12-15,82.0
4702,Ocean Drive,2021-05-08,14,12-15,109.0
4702,Ocean Drive,2021-05-08,15,12-15,84.0
4702,Ocean Drive,2021-05-08,16,15-18,67.0
4702,Ocean Drive,2021-05-08,17,15-18,35.0
4702,Ocean Drive,2021-05-08,18,15-18,28.0
4702,Ocean Drive,2021-05-08,19,18-21,20.0
4702,Ocean Drive,2021-05-08,20,18-21,9.0
4702,Ocean Drive,2021-05-08,21,18-21,1.0
4702,Ocean Drive,2021-05-08,22,,1.0
4702,Ocean Drive,2021-05-08,23,,1.0
4702,Ocean Drive,2021-05-09,0,,0.0
4702,Ocean Drive,2021-05-09,1,,0.0
4702,Ocean Drive,2021-05-09,2,,0.0
4702,Ocean Drive,2021-05-09,3,,1.0
4702,Ocean Drive,2021-05-09,4,,6.0
4702,Ocean Drive,2021-05-09,5,,10.0
4702,Ocean Drive,2021-05-09,6,6-9,17.0
4702,Ocean Drive,2021-05-09,7,6-9,20.0
4702,Ocean Drive,2021-05-09,8,6-9,54.0
4702,Ocean Drive,2021-05-09,9,6-9,133.0
4702,Ocean Drive,2021-05-09,10,9-12,147.0
4702,Ocean Drive,2021-05-09,11,9-12,159.0
4702,Ocean Drive,2021-05-09,12,9-12,139.0
4702,Ocean Drive,2021-05-09,13,12-15,116.0
4702,Ocean Drive,2021-05-09,14,12-15,118.0
4702,Ocean Drive,2021-05-09,15,12-15,108.0
4702,Ocean Drive,2021-05-09,16,15-18,69.0
4702,Ocean Drive,2021-05-09,17,15-18,44.0
4702,Ocean Drive,2021-05-09,18,15-18,26.0
4702,Ocean Drive,2021-05-09,19,18-21,16.0
4702,Ocean Drive,2021-05-09,20,18-21,3.0
4702,Ocean Drive,2021-05-09,21,18-21,1.0
4702,Ocean Drive,2021-05-09,22,,1.0
4702,Ocean Drive,2021-05-09,23,,0.0
4702,Ocean Drive,2021-05-10,0,,0.0
4702,Ocean Drive,2021-05-10,1,,0.0
4702,Ocean Drive,2021-05-10,2,,0.0
4702,Ocean Drive,2021-05-10,3,,0.0
4702,Ocean Drive,2021-05-10,4,,1.0
4702,Ocean Drive,2021-05-10,5,,6.0
4702,Ocean Drive,2021-05-10,6,6-9,5.0
4702,Ocean Drive,2021-05-10,7,6-9,16.0
4702,Ocean Drive,2021-05-10,8,6-9,29.0
4702,Ocean Drive,2021-05-10,9,6-9,54.0
4702,Ocean Drive,2021-05-10,10,9-12,86.0
4702,Ocean Drive,2021-05-10,11,9-12,91.0
4702,Ocean Drive,2021-05-10,12,9-12,78.0
4702,Ocean Drive,2021-05-10,13,12-15,88.0
4702,Ocean Drive,2021-05-10,14,12-15,58.0
4702,Ocean Drive,2021-05-10,15,12-15,60.0
4702,Ocean Drive,2021-05-10,16,15-18,44.0
4702,Ocean Drive,2021-05-10,17,15-18,40.0
4702,Ocean Drive,2021-05-10,18,15-18,32.0
4702,Ocean Drive,2021-05-10,19,18-21,16.0
4702,Ocean Drive,2021-05-10,20,18-21,6.0
4702,Ocean Drive,2021-05-10,21,18-21,4.0
