route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
lowertown,edt,lower_town_edt_T32,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T33,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T34,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T35,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T36,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T37,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T38,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T39,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T40,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
lowertown,edt,lower_town_edt_T41,Harpers Ferry National Historical Park Visitor Center to Lower Town Shuttle,1,,lowertown,,
